epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5120.64,1.60664,1.67693,1.54888,0.255,0.04184,0.02136,0.00802,2.35786,4.29411,2.50795,0.000258434,0.000258434,0.000258434
43,5206.69,1.51924,1.57225,1.50936,0.25338,0.032,0.01658,0.00575,2.29308,4.3767,2.45008,0.000254127,0.000254127,0.000254127
44,5293.36,1.49236,1.60913,1.50558,0.18178,0.02538,0.02038,0.0098,2.31938,4.07012,2.52894,0.00024982,0.00024982,0.00024982
45,5379.68,1.47435,1.57719,1.47932,0.21963,0.02538,0.02457,0.00868,2.39148,3.80148,2.59833,0.000245514,0.000245514,0.000245514
46,5468.21,1.50995,1.61089,1.50401,0.29521,0.0401,0.03149,0.01035,2.42401,3.71033,2.65513,0.000241207,0.000241207,0.000241207
47,5554.44,1.3929,1.53447,1.48319,0.37277,0.03945,0.03188,0.01244,2.42122,4.04027,2.62124,0.000236901,0.000236901,0.000236901
48,5640.46,1.45286,1.44746,1.46928,0.39171,0.04266,0.03857,0.01407,2.34869,4.2423,2.54778,0.000232595,0.000232595,0.000232595
49,5728.04,1.4283,1.47134,1.47773,0.41397,0.04495,0.03838,0.01069,2.42087,4.04771,2.58764,0.000228288,0.000228288,0.000228288
50,5813.84,1.37216,1.42826,1.41146,0.30047,0.06203,0.0312,0.00996,2.39147,4.07965,2.51376,0.000223982,0.000223982,0.000223982
51,5899.67,1.29001,1.3096,1.37698,0.25992,0.06147,0.02098,0.00697,2.43662,4.08469,2.44537,0.000219675,0.000219675,0.000219675
52,5987.06,1.41358,1.40819,1.47427,0.26111,0.03753,0.02118,0.00739,2.4909,3.88238,2.50264,0.000215368,0.000215368,0.000215368
53,6075.92,1.41722,1.29191,1.4423,0.27451,0.04796,0.02524,0.00956,2.52155,3.82452,2.59495,0.000211062,0.000211062,0.000211062
54,6167.84,1.34779,1.3065,1.39161,0.28504,0.05844,0.02811,0.00961,2.59633,3.85277,2.66191,0.000206755,0.000206755,0.000206755
55,6254.39,1.35888,1.28609,1.37617,0.28037,0.05844,0.0298,0.00963,2.66753,3.71787,2.81004,0.000202449,0.000202449,0.000202449
56,6340.29,1.34677,1.26208,1.36092,0.28487,0.05959,0.03136,0.01095,2.57825,3.81653,2.66418,0.000198142,0.000198142,0.000198142
57,6427.42,1.32824,1.2212,1.34737,0.31002,0.06141,0.0388,0.01469,2.51445,3.92363,2.55582,0.000193836,0.000193836,0.000193836
58,6522.94,1.29162,1.18566,1.34771,0.20939,0.06684,0.03354,0.01332,2.54908,3.70714,2.59448,0.00018953,0.00018953,0.00018953
59,6613.75,1.26208,1.17796,1.3304,0.20222,0.05346,0.03886,0.01358,2.55733,3.66427,2.58405,0.000185223,0.000185223,0.000185223
60,6701.53,1.29694,1.19027,1.3287,0.48956,0.03764,0.04095,0.01359,2.48544,3.73372,2.55218,0.000180917,0.000180917,0.000180917
61,6790.29,1.2155,1.06944,1.28079,0.39468,0.04534,0.03938,0.01431,2.55671,3.83454,2.64113,0.00017661,0.00017661,0.00017661
62,6877.21,1.22383,1.14787,1.28601,0.36244,0.05254,0.03412,0.01174,2.5007,4.08016,2.57488,0.000172304,0.000172304,0.000172304
63,6963.31,1.25234,1.13554,1.26355,0.30717,0.04119,0.03235,0.01133,2.44863,4.15295,2.49621,0.000167997,0.000167997,0.000167997
64,7049.46,1.28879,1.15467,1.29997,0.2095,0.04496,0.02593,0.00883,2.48943,4.03698,2.57564,0.000163691,0.000163691,0.000163691
65,7137.76,1.19762,1.05949,1.28959,0.2139,0.05191,0.03074,0.01142,2.47348,4.02102,2.57551,0.000159384,0.000159384,0.000159384
