epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14055.9,0.97879,1.03983,1.22868,0.40572,0.14489,0.13049,0.07235,2.22796,2.93599,2.06187,0.000258434,0.000258434,0.000258434
43,14352.4,1.00747,1.00034,1.23573,0.3027,0.17615,0.1367,0.06879,2.21174,2.9696,2.14488,0.000254127,0.000254127,0.000254127
44,14647.6,0.99441,0.9981,1.22677,0.47417,0.16689,0.15845,0.08072,2.19268,2.99882,2.07977,0.00024982,0.00024982,0.00024982
45,14943,0.97726,0.99774,1.21409,0.4192,0.15909,0.14711,0.07926,2.25169,3.02213,2.11265,0.000245514,0.000245514,0.000245514
46,15238.5,0.97095,1.00608,1.19543,0.44225,0.16331,0.15344,0.09586,2.22361,2.87615,2.09771,0.000241207,0.000241207,0.000241207
47,15533.5,0.92558,0.87561,1.17244,0.30984,0.17407,0.15963,0.09666,2.26218,2.9439,2.11472,0.000236901,0.000236901,0.000236901
48,15830.1,0.93272,0.91184,1.1832,0.37961,0.15826,0.14966,0.09562,2.1976,2.97867,2.08942,0.000232595,0.000232595,0.000232595
49,16126,0.96495,0.96065,1.21114,0.45135,0.15672,0.14175,0.0857,2.17642,2.86225,2.10068,0.000228288,0.000228288,0.000228288
50,16427.5,0.89554,0.91883,1.1784,0.43417,0.15677,0.15145,0.09652,2.11782,2.6356,2.0442,0.000223982,0.000223982,0.000223982
51,16726.7,0.89684,0.87909,1.16145,0.46297,0.15912,0.15277,0.1026,2.16013,2.74434,2.08996,0.000219675,0.000219675,0.000219675
52,17028,0.87921,0.85776,1.1495,0.42821,0.17645,0.14925,0.08978,2.2198,2.74127,2.08398,0.000215368,0.000215368,0.000215368
53,17328.2,0.87814,0.87037,1.14483,0.42498,0.17598,0.15082,0.10089,2.14245,2.65384,2.05122,0.000211062,0.000211062,0.000211062
54,17628.7,0.85665,0.83885,1.13514,0.53566,0.15408,0.15084,0.09706,2.19709,2.7917,2.07546,0.000206755,0.000206755,0.000206755
